Index,Value,建成环境因子
0,1.014685274585661e-05,影像绿
1,1.014685274585661e-05,口袋公
2,0.00193531833637742,容积率
3,1.014685274585661e-05,建筑密
4,0.2234993049315512,richness_n
5,1.014685274585661e-05,POI_shanno
6,0.0010004390656089298,POI密度
7,0.0003703601564624321,可达性
8,1.014685274585661e-05,绿视率
9,0.0037872989168252274,天空开
10,0.001538714913592435,车行空
11,0.2234993049315512,人行空
12,1.9026552392420854e-05,建筑物
13,1.014685274585661e-05,界面围
14,0.2234993049315512,安全设
15,0.2234993049315512,小径密
16,1.014685274585661e-05,地铁可
17,0.09577466789235399,integratio
18,0.0015059264709612332,选择度
