Id,count,people_v
1,16,30
52,21,39
50,16,49
51,19,56
2,13,49
56,11,31
3,23,39
5,33,51
8,27,40
4,20,56
41,18,59
53,35,51
6,11,31
49,17,31
7,40,46
57,41,46
42,36,27
40,25,31
45,25,30
9,24,66
10,26,38
11,19,31
38,27,28
54,25,38
46,30,39
55,26,48
12,27,48
13,19,25
47,16,16
48,18,25
14,26,30
22,28,31
44,16,26
15,15,26
19,25,39
43,30,40
16,41,39
18,29,18
21,20,30
27,23,19
17,26,45
33,30,24
39,23,63
20,21,16
36,20,29
37,22,32
30,17,10
23,30,40
24,26,15
31,18,12
32,24,28
25,33,29
26,22,30
34,24,12
35,24,14
28,23,19
29,23,9
