Id,count,people_v
1,22,30
52,30,39
50,15,49
51,24,56
2,15,49
56,21,31
3,31,39
5,36,51
8,19,40
4,24,56
41,23,59
53,29,51
6,27,31
49,26,31
7,31,46
57,29,46
42,31,27
40,29,31
45,26,30
9,27,66
10,23,38
11,23,31
38,24,28
54,18,38
46,27,39
55,30,48
12,32,48
13,21,25
47,22,16
48,23,25
14,23,30
22,28,31
44,18,26
15,18,26
19,24,39
43,28,40
16,25,39
18,13,18
21,20,30
27,11,19
17,22,45
33,15,24
39,23,63
20,22,16
36,24,29
37,21,32
30,23,10
23,26,40
24,15,15
31,24,12
32,10,28
25,15,29
26,16,30
34,14,12
35,21,14
28,25,19
29,24,9
