Id,count,people_v
1,9,30
52,19,39
50,20,49
51,26,56
2,23,49
56,22,31
3,26,39
5,35,51
8,30,40
4,25,56
41,18,59
53,35,51
6,19,31
49,19,31
7,28,46
57,31,46
42,22,27
40,28,31
45,18,30
9,37,66
10,29,38
11,37,31
38,21,28
54,21,38
46,38,39
55,42,48
12,39,48
13,25,25
47,20,16
48,16,25
14,16,30
22,22,31
44,13,26
15,12,26
19,11,39
43,20,40
16,38,39
18,20,18
21,19,30
27,19,19
17,26,45
33,21,24
39,13,63
20,23,16
36,20,29
37,19,32
30,14,10
23,22,40
24,14,15
31,14,12
32,14,28
25,26,29
26,24,30
34,17,12
35,18,14
28,23,19
29,22,9
