Id,count,people_v
1,19,30
52,25,39
50,27,49
51,27,56
2,24,49
56,22,31
3,30,39
5,36,51
8,27,40
4,21,56
41,17,59
53,31,51
6,23,31
49,17,31
7,24,46
57,25,46
42,23,27
40,27,31
45,20,30
9,32,66
10,24,38
11,28,31
38,17,28
54,18,38
46,23,39
55,28,48
12,28,48
13,20,25
47,16,16
48,21,25
14,23,30
22,28,31
44,14,26
15,13,26
19,35,39
43,32,40
16,21,39
18,5,18
21,13,30
27,16,19
17,26,45
33,20,24
39,28,63
20,14,16
36,17,29
37,12,32
30,25,10
23,42,40
24,31,15
31,29,12
32,29,28
25,29,29
26,16,30
34,12,12
35,22,14
28,20,19
29,21,9
