Id,count,people_v
1,18,30
52,20,39
50,20,49
51,26,56
2,21,49
56,19,31
3,29,39
5,27,51
8,21,40
4,24,56
41,24,59
53,30,51
6,17,31
49,14,31
7,27,46
57,31,46
42,26,27
40,33,31
45,21,30
9,36,66
10,30,38
11,16,31
38,25,28
54,26,38
46,28,39
55,25,48
12,26,48
13,23,25
47,22,16
48,17,25
14,24,30
22,30,31
44,15,26
15,11,26
19,20,39
43,30,40
16,27,39
18,12,18
21,32,30
27,17,19
17,28,45
33,18,24
39,18,63
20,24,16
36,21,29
37,30,32
30,22,10
23,33,40
24,21,15
31,22,12
32,19,28
25,20,29
26,23,30
34,21,12
35,23,14
28,22,19
29,26,9
