Id,count,people_v
1,11,30
52,17,39
50,20,49
51,26,56
2,17,49
56,16,31
3,22,39
5,31,51
8,18,40
4,25,56
41,23,59
53,33,51
6,16,31
49,26,31
7,37,46
57,37,46
42,36,27
40,24,31
45,29,30
9,26,66
10,18,38
11,31,31
38,24,28
54,19,38
46,33,39
55,37,48
12,39,48
13,39,25
47,29,16
48,42,25
14,26,30
22,21,31
44,18,26
15,17,26
19,24,39
43,16,40
16,31,39
18,21,18
21,21,30
27,15,19
17,20,45
33,20,24
39,22,63
20,28,16
36,24,29
37,21,32
30,16,10
23,13,40
24,17,15
31,16,12
32,15,28
25,21,29
26,8,30
34,12,12
35,20,14
28,23,19
29,22,9
